,_num,_widgetName,_source,_resultNumber,_pageUrl,name,net_worth,age,age/_source,source,country,country/_source,rank,rank/_source,picture
year:2014|,1,Forbes.com billionaires list,Forbes.com billionaires list,1,http://www.forbes.com/ajax/load_list/?type=person&uri=billionaires&year=2014&fromMultipleBranch=true,Bill Gates,76,58,58,Technology,USA,United States,1,1,img/bg.png
year:2014|,2,Forbes.com billionaires list,Forbes.com billionaires list,2,http://www.forbes.com/ajax/load_list/?type=person&uri=billionaires&year=2014&fromMultipleBranch=true,Carlos Slim Helu & family,72,74,74,Telecom,MEX,Mexico,2,2,img/cs.png
year:2014|,3,Forbes.com billionaires list,Forbes.com billionaires list,3,http://www.forbes.com/ajax/load_list/?type=person&uri=billionaires&year=2014&fromMultipleBranch=true,Amancio Ortega,64,77,77,Retail,ESP,Spain,3,3,img/ao.png
year:2014|,4,Forbes.com billionaires list,Forbes.com billionaires list,4,http://www.forbes.com/ajax/load_list/?type=person&uri=billionaires&year=2014&fromMultipleBranch=true,Warren Buffett,58.2,83,83,Investments,USA,United States,4,4,img/wb.png
year:2014|,5,Forbes.com billionaires list,Forbes.com billionaires list,5,http://www.forbes.com/ajax/load_list/?type=person&uri=billionaires&year=2014&fromMultipleBranch=true,Larry Ellison,48,69,69,Technology,USA,United States,5,5,img/le.png
year:2014|,6,Forbes.com billionaires list,Forbes.com billionaires list,6,http://www.forbes.com/ajax/load_list/?type=person&uri=billionaires&year=2014&fromMultipleBranch=true,Charles Koch,40,78,78,Diversified,USA,United States,6,6,img/ck.png
year:2014|,7,Forbes.com billionaires list,Forbes.com billionaires list,7,http://www.forbes.com/ajax/load_list/?type=person&uri=billionaires&year=2014&fromMultipleBranch=true,David Koch,40,73,73,Diversified,USA,United States,6,6,img/dk.png
year:2014|,8,Forbes.com billionaires list,Forbes.com billionaires list,8,http://www.forbes.com/ajax/load_list/?type=person&uri=billionaires&year=2014&fromMultipleBranch=true,Sheldon Adelson,38,80,80,Gaming,USA,United States,8,8,img/sa.png
year:2014|,9,Forbes.com billionaires list,Forbes.com billionaires list,9,http://www.forbes.com/ajax/load_list/?type=person&uri=billionaires&year=2014&fromMultipleBranch=true,Christy Walton & family,36.7,59,59,Fashion and Retail,USA,United States,9,9,img/cw.png
year:2014|,10,Forbes.com billionaires list,Forbes.com billionaires list,10,http://www.forbes.com/ajax/load_list/?type=person&uri=billionaires&year=2014&fromMultipleBranch=true,Jim Walton,34.7,66,66,Fashion and Retail,USA,United States,10,10,img/jimw.png
year:2014|,11,Forbes.com billionaires list,Forbes.com billionaires list,11,http://www.forbes.com/ajax/load_list/?type=person&uri=billionaires&year=2014&fromMultipleBranch=true,Liliane Bettencourt & family,34.5,91,91,Fashion and Retail,FRA,France,11,11,img/lb.png
year:2014|,12,Forbes.com billionaires list,Forbes.com billionaires list,12,http://www.forbes.com/ajax/load_list/?type=person&uri=billionaires&year=2014&fromMultipleBranch=true,Stefan Persson,34.4,66,66,Fashion and Retail,SWE,Sweden,12,12,img/sp.png
year:2014|,13,Forbes.com billionaires list,Forbes.com billionaires list,13,http://www.forbes.com/ajax/load_list/?type=person&uri=billionaires&year=2014&fromMultipleBranch=true,Alice Walton,34.3,64,64,Fashion and Retail,USA,United States,13,13,img/alicew.png
year:2014|,14,Forbes.com billionaires list,Forbes.com billionaires list,14,http://www.forbes.com/ajax/load_list/?type=person&uri=billionaires&year=2014&fromMultipleBranch=true,S. Robson Walton,34.2,70,70,Fashion and Retail,USA,United States,14,14,img/robw.png
year:2014|,15,Forbes.com billionaires list,Forbes.com billionaires list,15,http://www.forbes.com/ajax/load_list/?type=person&uri=billionaires&year=2014&fromMultipleBranch=true,Bernard Arnault & family,33.5,65,65,Fashion and Retail,FRA,France,15,15,img/bera.png
year:2014|,16,Forbes.com billionaires list,Forbes.com billionaires list,16,http://www.forbes.com/ajax/load_list/?type=person&uri=billionaires&year=2014&fromMultipleBranch=true,Michael Bloomberg,33,72,72,Finance,USA,United States,16,16,
year:2014|,17,Forbes.com billionaires list,Forbes.com billionaires list,17,http://www.forbes.com/ajax/load_list/?type=person&uri=billionaires&year=2014&fromMultipleBranch=true,Larry Page,32.3,40,40,Technology,USA,United States,17,17,img/lp.png
year:2014|,18,Forbes.com billionaires list,Forbes.com billionaires list,18,http://www.forbes.com/ajax/load_list/?type=person&uri=billionaires&year=2014&fromMultipleBranch=true,Jeff Bezos,32,50,50,Technology,USA,United States,18,18,img/jb.png
year:2014|,19,Forbes.com billionaires list,Forbes.com billionaires list,19,http://www.forbes.com/ajax/load_list/?type=person&uri=billionaires&year=2014&fromMultipleBranch=true,Sergey Brin,31.8,40,40,Technology,USA,United States,19,19,img/sb.png
year:2014|,20,Forbes.com billionaires list,Forbes.com billionaires list,20,http://www.forbes.com/ajax/load_list/?type=person&uri=billionaires&year=2014&fromMultipleBranch=true,Li Ka-shing,31,85,85,Diversified,HKG,Hong Kong,20,20,img/lika.png
year:2014|,21,Forbes.com billionaires list,Forbes.com billionaires list,21,http://www.forbes.com/ajax/load_list/?type=person&uri=billionaires&year=2014&fromMultipleBranch=true,Mark Zuckerberg,28.5,29,29,Technology,USA,United States,21,21,img/mz.png
year:2014|,22,Forbes.com billionaires list,Forbes.com billionaires list,22,http://www.forbes.com/ajax/load_list/?type=person&uri=billionaires&year=2014&fromMultipleBranch=true,Michele Ferrero & family,26.5,88,88,Food and Beverage,ITA,Italy,22,22,
year:2014|,23,Forbes.com billionaires list,Forbes.com billionaires list,23,http://www.forbes.com/ajax/load_list/?type=person&uri=billionaires&year=2014&fromMultipleBranch=true,Karl Albrecht,25,94,94,Fashion and Retail,DEU,Germany,23,23,
year:2014|,24,Forbes.com billionaires list,Forbes.com billionaires list,24,http://www.forbes.com/ajax/load_list/?type=person&uri=billionaires&year=2014&fromMultipleBranch=true,Aliko Dangote,25,56,56,Manufacturing,NGA,Nigeria,23,23,
year:2014|,25,Forbes.com billionaires list,Forbes.com billionaires list,25,http://www.forbes.com/ajax/load_list/?type=person&uri=billionaires&year=2014&fromMultipleBranch=true,Carl Icahn,24.5,78,78,Investments,USA,United States,25,25,
year:2014|,26,Forbes.com billionaires list,Forbes.com billionaires list,26,http://www.forbes.com/ajax/load_list/?type=person&uri=billionaires&year=2014&fromMultipleBranch=true,George Soros,23,83,83,Investments,USA,United States,26,26,
year:2014|,27,Forbes.com billionaires list,Forbes.com billionaires list,27,http://www.forbes.com/ajax/load_list/?type=person&uri=billionaires&year=2014&fromMultipleBranch=true,David Thomson & family,22.6,56,56,Media,CAN,Canada,27,27,
year:2014|,28,Forbes.com billionaires list,Forbes.com billionaires list,28,http://www.forbes.com/ajax/load_list/?type=person&uri=billionaires&year=2014&fromMultipleBranch=true,Lui Che Woo,22,84,84,Gaming,HKG,Hong Kong,28,28,
year:2014|,29,Forbes.com billionaires list,Forbes.com billionaires list,29,http://www.forbes.com/ajax/load_list/?type=person&uri=billionaires&year=2014&fromMultipleBranch=true,Dieter Schwarz,21.1,74,74,Fashion and Retail,DEU,Germany,29,29,
year:2014|,30,Forbes.com billionaires list,Forbes.com billionaires list,30,http://www.forbes.com/ajax/load_list/?type=person&uri=billionaires&year=2014&fromMultipleBranch=true,Prince Alwaleed Bin Talal Alsaud,20.4,59,59,Investments,SAU,Saudi Arabia,30,30,
year:2014|,31,Forbes.com billionaires list,Forbes.com billionaires list,31,http://www.forbes.com/ajax/load_list/?type=person&uri=billionaires&year=2014&fromMultipleBranch=true,Forrest Mars Jr.,20,82,82,Food and Beverage,USA,United States,31,31,img/form.png
year:2014|,32,Forbes.com billionaires list,Forbes.com billionaires list,32,http://www.forbes.com/ajax/load_list/?type=person&uri=billionaires&year=2014&fromMultipleBranch=true,Jacqueline Mars,20,74,74,Food and Beverage,USA,United States,31,31,img/jacm.png
year:2014|,33,Forbes.com billionaires list,Forbes.com billionaires list,33,http://www.forbes.com/ajax/load_list/?type=person&uri=billionaires&year=2014&fromMultipleBranch=true,John Mars,20,77,77,Food and Beverage,USA,United States,31,31,img/jorl.png
